"tbodyaccmeanx" "tbodyaccmeany" "tbodyaccmeanz" "tbodyaccstdx" "tbodyaccstdy" "tbodyaccstdz" "tgravityaccmeanx" "tgravityaccmeany" "tgravityaccmeanz" "tgravityaccstdx" "tgravityaccstdy" "tgravityaccstdz" "tbodyaccjerkmeanx" "tbodyaccjerkmeany" "tbodyaccjerkmeanz" "tbodyaccjerkstdx" "tbodyaccjerkstdy" "tbodyaccjerkstdz" "tbodygyromeanx" "tbodygyromeany" "tbodygyromeanz" "tbodygyrostdx" "tbodygyrostdy" "tbodygyrostdz" "tbodygyrojerkmeanx" "tbodygyrojerkmeany" "tbodygyrojerkmeanz" "tbodygyrojerkstdx" "tbodygyrojerkstdy" "tbodygyrojerkstdz" "subject" "activity"
"1" 0.28858451 -0.020294171 -0.13290514 -0.9952786 -0.98311061 -0.91352645 0.96339614 -0.14083968 0.11537494 -0.98524969 -0.98170843 -0.87762497 0.077996345 0.0050008031 -0.067830808 -0.99351906 -0.98835999 -0.99357497 -0.0061008489 -0.031364791 0.1077254 -0.98531027 -0.97662344 -0.99220528 -0.0991674 -0.055517369 -0.061985797 -0.99211067 -0.99251927 -0.99205528 1 "standing"
"2" 0.27841883 -0.016410568 -0.12352019 -0.99824528 -0.97530022 -0.96032199 0.96656113 -0.14155127 0.10937881 -0.99741134 -0.98944741 -0.93163868 0.074006709 0.0057711041 0.029376633 -0.99554814 -0.98106363 -0.9918457 -0.01611162 -0.083893777 0.10058429 -0.98311996 -0.9890458 -0.98912123 -0.11050283 -0.044818731 -0.059242822 -0.98987256 -0.9972926 -0.993851 1 "standing"
"3" 0.27965306 -0.019467156 -0.11346169 -0.99537956 -0.96718701 -0.97894396 0.9668781 -0.14200984 0.10188392 -0.99957395 -0.99286582 -0.99291723 0.073635962 0.0031040366 -0.0090456308 -0.99074281 -0.98095561 -0.98968664 -0.031698294 -0.10233542 0.096126876 -0.97629211 -0.99355182 -0.98637871 -0.10848567 -0.042410306 -0.055828829 -0.98846185 -0.99563214 -0.99153184 1 "standing"
"4" 0.27917394 -0.026200646 -0.12328257 -0.99609149 -0.9834027 -0.9906751 0.96761519 -0.14397645 0.099850143 -0.99664558 -0.98139281 -0.97847643 0.077320614 0.020057642 -0.0098647722 -0.99269737 -0.98755275 -0.99349757 -0.043409983 -0.091386182 0.085537699 -0.9913848 -0.99240732 -0.98755418 -0.091169889 -0.03633262 -0.06046466 -0.9911194 -0.99664096 -0.99332889 1 "standing"
"5" 0.27662877 -0.016569655 -0.11536185 -0.99813862 -0.98081727 -0.99048163 0.9682244 -0.14875022 0.094485896 -0.99842928 -0.98809824 -0.97874493 0.073444363 0.019121574 0.016779979 -0.99642017 -0.98835871 -0.9924549 -0.033960416 -0.074708034 0.077392035 -0.98518357 -0.99237812 -0.98740185 -0.090770099 -0.037632533 -0.058289319 -0.99135446 -0.99647298 -0.99451099 1 "standing"
"6" 0.27719877 -0.01009785 -0.10513725 -0.99733496 -0.99048681 -0.99542003 0.9679482 -0.14820997 0.091909715 -0.9989793 -0.98675389 -0.99730641 0.077932436 0.018684046 0.0093444336 -0.9948136 -0.98871446 -0.99226635 -0.028775508 -0.070393108 0.079012142 -0.9851808 -0.99211748 -0.98307675 -0.094247582 -0.043355261 -0.041935999 -0.99162156 -0.99601465 -0.99309059 1 "standing"
"7" 0.27945388 -0.019640776 -0.11002215 -0.99692104 -0.96718593 -0.98311783 0.9679295 -0.14428214 0.093144628 -0.99933247 -0.98857468 -0.99201595 0.082170765 -0.01701467 -0.015798166 -0.99520561 -0.98483079 -0.98842507 -0.028600251 -0.083046734 0.095464555 -0.98817723 -0.98920571 -0.9791538 -0.097088606 -0.041589277 -0.044704559 -0.99041853 -0.99541459 -0.9904868 1 "standing"
"8" 0.27743247 -0.030488303 -0.12536043 -0.99655926 -0.96672843 -0.98158533 0.96849148 -0.14670536 0.091708159 -0.99811827 -0.97295996 -0.97656878 0.072364228 0.0087478559 -0.0044681354 -0.99527281 -0.98129122 -0.99033964 -0.024200262 -0.07789261 0.094095607 -0.98910723 -0.98740324 -0.97851956 -0.10316236 -0.035546068 -0.063208931 -0.9911036 -0.99579433 -0.99073859 1 "standing"
"9" 0.27729342 -0.021750698 -0.12075082 -0.99732847 -0.96124532 -0.98367156 0.96848115 -0.15437401 0.085118255 -0.99778938 -0.9756451 -0.9689613 0.075284365 0.030762704 0.01121195 -0.99647892 -0.98005127 -0.99666607 -0.024831025 -0.066401639 0.077862982 -0.99088198 -0.99289135 -0.98724152 -0.1006944 -0.047715247 -0.067720045 -0.99241954 -0.99631178 -0.99395634 1 "standing"
"10" 0.28058569 -0.0099602983 -0.10606516 -0.99480344 -0.9727584 -0.98624387 0.96841804 -0.15630201 0.08087447 -0.99736219 -0.99050162 -0.99674235 0.076369318 0.012518906 0.0030843751 -0.99115561 -0.9692003 -0.98861504 -0.0234154 -0.070925683 0.078975843 -0.98493784 -0.98730376 -0.98084404 -0.098429383 -0.043540216 -0.048562914 -0.98391251 -0.99307848 -0.98439956 1 "standing"
